,Id,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice
10,1044,0527451290,160,RM,21.0,1680.0,Pave,1,Lvl,1,Inside,1,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,3,3,CBlock,3,3,4,2,387.0,6,0.0,96.0,483.0,GasA,3,Y,1,483.0,504.0,0.0,987.0,0.0,0.0,1.0,1.0,2.0,1.0,3,4.0,8,0.0,6,Detchd,1971.0,3,1.0,264.0,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,5,NA,0.0,7,2008,COD,85400.0
11,2752,0906380150,020,RL,64.0,7488.0,Pave,2,Lvl,1,Inside,1,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,3,PConc,2,3,2,1,393.0,6,0.0,815.0,1208.0,GasA,1,Y,1,1208.0,0.0,0.0,1208.0,0.0,0.0,2.0,0.0,2.0,1.0,2,6.0,8,0.0,6,Attchd,2005.0,2,2.0,632.0,3,3,1,105.0,58.0,0.0,0.0,0.0,0.0,5,NA,0.0,2,2006,WD ,183600.0
12,807,0906226060,070,RL,120.0,26400.0,Pave,1,Bnk,1,FR2,1,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,2,3,PConc,3,3,4,1,0.0,6,0.0,0.0,0.0,GasA,1,Y,1,1288.0,728.0,0.0,2016.0,0.0,0.0,1.0,0.0,4.0,1.0,3,7.0,5,1.0,3,Attchd,1900.0,3,2.0,576.0,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,5,NA,0.0,6,2009,WD ,131000.0
13,1177,0533236070,160,FV,24.0,2645.0,Pave,1,Lvl,1,Inside,1,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,2,3,PConc,2,3,4,1,813.0,6,0.0,147.0,960.0,GasA,1,Y,1,962.0,645.0,0.0,1607.0,1.0,0.0,2.0,1.0,3.0,1.0,2,7.0,8,0.0,6,Detchd,2000.0,3,2.0,480.0,3,3,1,169.0,0.0,0.0,0.0,0.0,0.0,5,NA,0.0,12,2008,ConLD,200000.0
14,1480,0907418040,020,RL,74.0,9627.0,Pave,1,Lvl,1,Inside,1,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,3,PConc,2,3,2,1,24.0,6,0.0,1327.0,1351.0,GasA,1,Y,1,1361.0,0.0,0.0,1361.0,0.0,0.0,2.0,0.0,3.0,1.0,2,6.0,8,0.0,6,Attchd,2007.0,2,2.0,610.0,3,3,1,0.0,50.0,0.0,0.0,0.0,0.0,5,NA,0.0,6,2008,WD ,193000.0
15,324,0923202105,020,RL,93.0,10114.0,Pave,1,Lvl,1,Inside,1,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,1,3,2,6,0.0,6,0.0,1430.0,1430.0,GasA,1,Y,1,1430.0,0.0,0.0,1430.0,0.0,0.0,2.0,0.0,3.0,1.0,2,7.0,8,0.0,6,Attchd,2004.0,2,2.0,624.0,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,5,NA,0.0,3,2010,WD ,173500.0
16,1311,0902301140,070,RM,34.0,4571.0,Pave,1,Lvl,1,Inside,1,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,3,BrkTil,3,3,4,6,0.0,6,0.0,624.0,624.0,GasA,4,N,1,624.0,720.0,0.0,1344.0,0.0,0.0,1.0,0.0,4.0,1.0,3,7.0,8,0.0,6,Detchd,1916.0,3,3.0,513.0,4,4,1,0.0,0.0,96.0,0.0,0.0,0.0,5,NA,0.0,5,2008,COD,98000.0
17,770,0905101490,020,RL,80.0,8816.0,Pave,1,Lvl,1,Corner,1,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3,3,4,4,651.0,6,0.0,470.0,1121.0,GasA,3,Y,1,1121.0,0.0,0.0,1121.0,1.0,0.0,1.0,0.0,3.0,1.0,3,5.0,8,0.0,6,Detchd,1963.0,3,2.0,480.0,3,3,1,0.0,80.0,0.0,0.0,0.0,0.0,5,NA,0.0,6,2009,WD ,139000.0
18,2063,0905107140,020,RL,71.0,8197.0,Pave,1,Lvl,1,Inside,1,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,3,3,CBlock,3,3,4,6,0.0,6,0.0,660.0,660.0,GasA,1,Y,1,1285.0,0.0,0.0,1285.0,0.0,0.0,1.0,1.0,3.0,1.0,3,7.0,8,1.0,3,Attchd,1977.0,2,2.0,528.0,3,3,1,138.0,0.0,0.0,0.0,0.0,0.0,5,NA,0.0,4,2007,WD ,143500.0
19,69,0528458070,060,FV,72.0,8640.0,Pave,1,Lvl,1,Inside,1,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,2,3,3,1,24.0,6,0.0,732.0,756.0,GasA,1,Y,1,764.0,783.0,0.0,1547.0,0.0,0.0,2.0,1.0,3.0,1.0,2,7.0,8,0.0,6,Attchd,2009.0,3,2.0,614.0,3,3,1,169.0,45.0,0.0,0.0,0.0,0.0,5,NA,0.0,6,2010,Con,215200.0
20,2062,0905106150,020,RL,109.0,8724.0,Pave,1,Lvl,1,Inside,1,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,2,3,4,3,492.0,6,0.0,402.0,894.0,GasA,2,Y,1,894.0,0.0,0.0,894.0,0.0,0.0,1.0,0.0,3.0,1.0,3,5.0,8,1.0,5,Attchd,1968.0,1,2.0,450.0,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,5,NA,0.0,5,2007,WD ,129000.0
21,351,0527131030,120,RL,40.0,5664.0,Pave,2,Lvl,1,Inside,1,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,2,3,PConc,2,3,4,1,1158.0,6,0.0,343.0,1501.0,GasA,1,Y,1,1659.0,0.0,0.0,1659.0,1.0,0.0,2.0,0.0,2.0,1.0,1,5.0,8,1.0,1,Attchd,2000.0,1,2.0,499.0,3,3,1,212.0,59.0,0.0,0.0,0.0,0.0,5,NA,0.0,10,2009,WD ,278000.0
22,2393,0528142010,060,RL,103.0,12867.0,Pave,2,Lvl,1,Corner,1,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,CemntBd,CmentBd,None,0.0,2,3,PConc,1,3,2,6,0.0,6,0.0,1209.0,1209.0,GasA,1,Y,1,1209.0,1044.0,0.0,2253.0,0.0,0.0,2.0,1.0,3.0,1.0,1,8.0,8,1.0,2,Attchd,2005.0,1,2.0,575.0,3,3,1,243.0,142.0,0.0,0.0,0.0,0.0,5,NA,0.0,7,2006,New,344133.0
23,12,0527165230,020,RL,69.05520046484602,7980.0,Pave,2,Lvl,1,Inside,1,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,2,PConc,2,3,4,2,935.0,6,0.0,233.0,1168.0,GasA,1,Y,1,1187.0,0.0,0.0,1187.0,1.0,0.0,2.0,0.0,3.0,1.0,3,6.0,8,0.0,6,Attchd,1992.0,1,2.0,420.0,3,3,1,483.0,21.0,0.0,0.0,0.0,0.0,5,Shed,500.0,3,2010,WD ,185000.0
24,2339,0527250040,190,RL,100.0,34650.0,Pave,1,Bnk,1,Inside,1,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,3,4,1056.0,6,0.0,0.0,1056.0,GasA,3,N,1,1056.0,0.0,0.0,1056.0,1.0,0.0,1.0,0.0,3.0,1.0,3,5.0,8,0.0,6,Attchd,1955.0,1,2.0,572.0,3,3,1,264.0,0.0,0.0,0.0,0.0,0.0,5,NA,0.0,1,2006,WD ,145000.0
25,624,0535104120,020,RL,92.0,10573.0,Pave,2,Lvl,1,Corner,1,NAmes,Norm,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,3,3,CBlock,3,3,4,4,1312.0,6,0.0,141.0,1453.0,GasA,1,Y,1,1453.0,0.0,0.0,1453.0,1.0,0.0,2.0,0.0,3.0,1.0,3,6.0,8,1.0,3,Attchd,1961.0,2,2.0,530.0,3,3,1,0.0,49.0,0.0,0.0,288.0,0.0,5,NA,0.0,4,2009,WD ,187500.0
26,86,0532376160,020,RL,65.0,8450.0,Pave,1,Lvl,1,Inside,1,Sawyer,RRAe,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,2,CBlock,3,3,4,1,553.0,3,117.0,224.0,894.0,GasA,1,Y,1,894.0,0.0,0.0,894.0,1.0,0.0,1.0,0.0,3.0,1.0,3,5.0,8,1.0,2,Detchd,1973.0,3,1.0,336.0,3,3,1,416.0,144.0,0.0,0.0,0.0,0.0,5,NA,0.0,4,2010,WD ,138500.0
27,1534,0909277040,050,RL,69.05520046484602,11700.0,Pave,2,HLS,1,Inside,2,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,0.0,3,3,CBlock,3,3,4,3,606.0,6,0.0,336.0,942.0,GasA,1,Y,1,1265.0,673.0,0.0,1938.0,0.0,0.0,2.0,0.0,4.0,1.0,2,7.0,6,1.0,2,Detchd,1937.0,3,1.0,240.0,3,3,1,0.0,40.0,0.0,0.0,0.0,0.0,5,NA,0.0,7,2008,WD ,198000.0
28,2243,0911103060,190,C (all),75.0,8250.0,Pave,1,Lvl,1,Inside,1,IDOTRR,Feedr,Norm,2fmCon,2Story,5,6,1895,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,CBlock,3,3,4,6,0.0,6,0.0,957.0,957.0,GasA,4,N,1,1034.0,957.0,0.0,1991.0,0.0,0.0,2.0,0.0,4.0,2.0,3,9.0,8,0.0,6,Attchd,nan,3,0.0,0.0,3,3,3,0.0,0.0,133.0,0.0,0.0,0.0,5,NA,0.0,6,2007,WD ,119600.0
29,1957,0535450190,050,RL,60.0,8064.0,Pave,1,Lvl,1,Corner,1,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,2,CBlock,3,3,3,6,0.0,6,0.0,672.0,672.0,GasA,1,Y,1,672.0,252.0,0.0,924.0,0.0,0.0,1.0,0.0,3.0,1.0,3,6.0,8,1.0,5,Detchd,2003.0,3,2.0,576.0,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,5,Shed,2000.0,7,2007,WD ,122900.0
30,380,0527355150,020,RL,80.0,9600.0,Pave,1,Lvl,1,Inside,1,NWAmes,PosN,Norm,1Fam,1Story,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,2,3,PConc,2,3,4,2,1104.0,6,0.0,1420.0,2524.0,GasA,3,Y,1,2524.0,0.0,0.0,2524.0,1.0,0.0,2.0,1.0,4.0,1.0,2,9.0,8,1.0,2,Attchd,1981.0,1,2.0,542.0,3,3,1,474.0,120.0,0.0,0.0,0.0,0.0,5,NA,0.0,7,2009,WD ,278000.0
31,2860,0909276010,070,RL,69.05520046484602,11435.0,Pave,2,HLS,1,Corner,2,Crawfor,Norm,Norm,1Fam,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,None,0.0,3,3,PConc,2,3,4,6,0.0,6,0.0,792.0,792.0,GasA,4,Y,1,792.0,725.0,0.0,1517.0,0.0,0.0,1.0,0.0,3.0,1.0,2,7.0,8,2.0,2,Detchd,1931.0,3,2.0,400.0,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,5,NA,0.0,6,2006,WD ,230000.0
32,2517,0533250130,120,RL,30.0,9549.0,Pave,2,Lvl,1,CulDSac,1,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,CompShg,BrkFace,BrkFace,None,0.0,2,2,PConc,2,2,2,5,437.0,1,1057.0,0.0,1494.0,GasA,1,Y,1,1494.0,0.0,0.0,1494.0,1.0,0.0,1.0,1.0,2.0,1.0,1,6.0,8,1.0,2,Attchd,1995.0,1,2.0,481.0,3,3,1,0.0,30.0,0.0,0.0,216.0,0.0,5,NA,0.0,4,2006,WD ,270000.0
33,1933,0535302070,020,RL,60.0,10950.0,Pave,1,Lvl,1,Inside,1,NAmes,Norm,Norm,1Fam,1Story,6,6,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,4,2,441.0,6,0.0,507.0,948.0,GasA,3,Y,1,948.0,0.0,0.0,948.0,0.0,0.0,1.0,0.0,2.0,1.0,3,5.0,8,0.0,6,Detchd,1952.0,3,2.0,410.0,3,3,3,0.0,48.0,0.0,0.0,0.0,0.0,5,NA,0.0,4,2007,WD ,125000.0
34,820,0906340110,020,RL,79.0,10637.0,Pave,1,Lvl,1,Inside,1,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,2,3,PConc,1,3,1,1,1288.0,6,0.0,417.0,1705.0,GasA,1,Y,1,1718.0,0.0,0.0,1718.0,1.0,0.0,2.0,0.0,3.0,1.0,2,7.0,8,1.0,2,Attchd,2007.0,2,3.0,826.0,3,3,1,208.0,44.0,0.0,0.0,0.0,0.0,5,NA,0.0,9,2009,WD ,297000.0
35,675,0535426150,020,RL,80.0,9000.0,Pave,2,HLS,1,Inside,2,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,3,3,CBlock,2,3,1,6,0.0,6,0.0,160.0,160.0,GasA,4,Y,1,1142.0,0.0,0.0,1142.0,0.0,0.0,1.0,0.0,2.0,1.0,3,5.0,8,1.0,2,Basment,1958.0,2,1.0,384.0,3,3,1,0.0,28.0,64.0,0.0,0.0,0.0,5,NA,0.0,4,2009,WD ,113500.0
36,2910,0923225240,160,RM,41.0,2665.0,Pave,1,Lvl,1,Inside,1,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,3,3,4,2,548.0,4,173.0,36.0,757.0,GasA,1,Y,1,925.0,550.0,0.0,1475.0,0.0,0.0,2.0,0.0,4.0,1.0,3,6.0,8,1.0,3,Attchd,1977.0,2,1.0,336.0,3,3,1,104.0,26.0,0.0,0.0,0.0,0.0,5,NA,0.0,7,2006,WD ,127000.0
37,21,0527358140,020,RL,105.0,11751.0,Pave,2,Lvl,1,Inside,1,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,3,3,CBlock,2,3,4,3,705.0,6,0.0,1139.0,1844.0,GasA,1,Y,1,1844.0,0.0,0.0,1844.0,0.0,0.0,2.0,0.0,3.0,1.0,3,7.0,8,1.0,3,Attchd,1977.0,2,2.0,546.0,3,3,1,0.0,122.0,0.0,0.0,0.0,0.0,5,NA,0.0,1,2010,COD,190000.0
38,1873,0534177210,020,RL,80.0,9600.0,Pave,1,Lvl,1,Inside,1,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,3,3,CBlock,3,3,4,2,916.0,6,0.0,326.0,1242.0,GasA,4,Y,1,1242.0,0.0,0.0,1242.0,0.0,0.0,1.0,1.0,3.0,1.0,3,6.0,8,1.0,3,Attchd,1973.0,3,2.0,528.0,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,5,NA,0.0,9,2007,WD ,175500.0
39,2125,0907135050,020,RL,60.0,8428.0,Pave,3,Lvl,1,Inside,1,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,PConc,2,2,4,1,420.0,6,0.0,570.0,990.0,GasA,1,Y,1,990.0,0.0,0.0,990.0,1.0,0.0,1.0,0.0,3.0,1.0,3,5.0,8,0.0,6,Detchd,1995.0,3,1.0,384.0,3,3,1,256.0,0.0,0.0,0.0,0.0,0.0,5,NA,0.0,7,2007,WD ,146000.0
40,1489,0908102260,020,RL,75.0,9937.0,Pave,1,Lvl,1,Inside,1,Edwards,Norm,Norm,1Fam,1Story,5,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,None,0.0,2,3,CBlock,3,3,4,3,830.0,5,290.0,136.0,1256.0,GasA,2,Y,1,1256.0,0.0,0.0,1256.0,1.0,0.0,1.0,1.0,3.0,1.0,3,6.0,8,0.0,6,Attchd,1965.0,1,1.0,276.0,3,3,1,736.0,68.0,0.0,0.0,0.0,0.0,5,NA,0.0,6,2008,WD ,147500.0
41,2383,0528110050,020,RL,107.0,13891.0,Pave,1,Lvl,1,Inside,1,NridgHt,Norm,Norm,1Fam,1Story,10,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,1,3,PConc,1,2,1,1,1386.0,6,0.0,690.0,2076.0,GasA,1,Y,1,2076.0,0.0,0.0,2076.0,1.0,0.0,2.0,1.0,2.0,1.0,1,7.0,8,1.0,2,Attchd,2006.0,1,3.0,850.0,3,3,1,216.0,229.0,0.0,0.0,0.0,0.0,5,NA,0.0,9,2006,New,465000.0
42,983,0923275040,085,RL,69.05520046484602,9101.0,Pave,2,Lvl,1,Corner,1,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,104.0,3,2,PConc,2,3,2,1,1097.0,6,0.0,0.0,1097.0,GasA,1,Y,1,1110.0,0.0,0.0,1110.0,1.0,0.0,1.0,0.0,1.0,1.0,2,4.0,8,1.0,3,Attchd,1978.0,1,2.0,602.0,3,3,1,303.0,30.0,0.0,0.0,0.0,0.0,5,NA,0.0,7,2009,WD ,165500.0
43,1325,0902406090,050,RM,81.0,12150.0,Pave,1,Lvl,1,Inside,1,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,1954,1954,Gable,CompShg,MetalSd,MetalSd,BrkFace,335.0,3,3,BrkTil,3,3,4,6,0.0,6,0.0,1050.0,1050.0,GasA,1,N,3,1050.0,745.0,0.0,1795.0,0.0,0.0,2.0,0.0,4.0,1.0,3,7.0,8,0.0,6,Attchd,1954.0,3,1.0,352.0,4,3,1,0.0,0.0,0.0,0.0,0.0,0.0,5,NA,0.0,11,2008,WD ,131500.0
44,1378,0905102170,020,RL,70.0,11200.0,Pave,1,Lvl,1,Inside,1,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,4,4,906.0,6,0.0,134.0,1040.0,GasA,1,Y,1,1040.0,0.0,0.0,1040.0,1.0,0.0,1.0,0.0,3.0,1.0,3,5.0,8,0.0,6,Detchd,1965.0,3,1.0,384.0,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,5,NA,0.0,2,2008,WD ,129500.0
